urls,标题,标签,简介,封面图片,标题分数,标签分数,封面图片分数,简介分数
https://www.bilibili.com/video/BV11B4y1y7wR/,刚和总统握完手就被反对党罚到破产，美国梦如何成为美国人的噩梦,历史 美国 人物 学习 下沉年代 多多读书月 美国梦 好书 2022读书日 ,一键三连推荐给更多朋友！,http://i1.hdslb.com/bfs/archive/c964d042520a44863f4d82ded3c7603ebbfec7ed.jpg,0.12301427066840344,0.11304078416613478,-1.1875,
https://www.bilibili.com/video/BV1aq4y1d7Be/,为什么美国养的公知要忽悠美国？看“新铁三角”如何打造美式军国主义,知识分享官 历史 美国 地理 白宫 王骁 拜登 公知 智库 骁话一下 ,如果有收获，欢迎一键三连支持一下！ 计数太太：距离骁鸽回归倒计时84天。,http://i1.hdslb.com/bfs/archive/2e1188bb7f4ff65cde9df479af9090113b1712af.jpg,0.11671773546032797,0.10658510262542638,-0.875,
https://www.bilibili.com/video/BV16g411X7yF/,堕胎 & 枪，美国的路线斗争,历史 美国 王骁 罗伊 最高法院 拜登 堕胎 特朗普 芝加哥 历史人文档案馆 历史人文档案馆2022第二季 ,没拔出的枪和没生出的娃，美国社会无解的两大话题。,http://i1.hdslb.com/bfs/archive/cce630adb2247181458f7862fbe27809a55cfb56.jpg,0.11671773546032796,0.1595519155841406,-1.3125,
https://www.bilibili.com/video/BV19D4y1w7yk/,专门成立警察抓女人露头发？为什么伊朗坚持保守？,故事档案馆 美国 王骁 波斯 伊朗 ,一键三连推荐给更多朋友！,http://i2.hdslb.com/bfs/archive/0bf027dd4ddb07fd773e88cbfe8f693d3d24803d.jpg,0.0,0.26242093626195995,-0.4375,
https://www.bilibili.com/video/BV1Kd4y1V7jF/,英国首相选举观察｜为什么制度比美国好，却混的越来越美国化？,故事档案馆 夏夜故事会 美国 英国 英国首相大战 王骁 大英帝国 鲍里斯 英国首相 特拉斯 苏纳克 ,一键三连推荐给更多朋友！,http://i2.hdslb.com/bfs/archive/ce8cbe2d76d5a2b8bf23a8d056d5c8be01476844.jpg,0.06744304769296748,0.22437465840763215,-0.5625,
https://www.bilibili.com/video/BV1LG4y1K7gv/,美国神偷：抢墨西哥领土还要标榜正义，美国宣传不服不行,故事档案馆 美国 奥斯汀 得克萨斯 墨西哥 王骁 休斯顿 ,一键三连推荐给更多朋友！,http://i2.hdslb.com/bfs/archive/e9d853d172ef024084523f8dc44dd7634c418d54.jpg,0.11129859886312513,0.2095424038071012,-0.125,
https://www.bilibili.com/video/BV1J84y1w7RA/,美国火车侧翻，世界帝国的基建怎么这么差？| Overlap,故事档案馆 火车 美国 底浪 翻车 BT 王骁 小王 overlap ,美国俄亥俄州火车翻车，导致化学物品污染当地环境，严重损害老百姓的生活。美国交通曾经是美国的名片，但是今天中国铁路发展日新月异，美国基础设施却成了一个反面案例。为什么会这样，美国人如何看待国营铁路？这一集底浪Wave的Overlap，我和美国独立媒体BreakThrough News一起聊聊，铁路的私营和国营。,http://i2.hdslb.com/bfs/archive/921d5415db99c164411fda44e4e095a4e044be19.jpg,0.06335481222196541,0.17952265829918895,-1.0,0.1785662155575749
https://www.bilibili.com/video/BV12k4y1u7sh/,美国军队最集权，所以效率最高丨Overlap,故事档案馆 中国 高铁 美国 拜登 基建狂魔 基建 Overlap 美国基建 基建计划 ,美国政府反复强调要推动基础设施建设，看起来这应该是一个可以取得跨党派支持，非常政治正确的事情，但是却一直难以推动，由于美国是世界霸主，谁都会关注，导致美国的基建危机甚至成了国际话题。这次，美国媒体人又想来和我聊聊，中国人如何看待自己的基建设施，如何看待美国的基建问题。,http://i2.hdslb.com/bfs/archive/2996a91f6c3ced9539c5feec2d9e8714d0cf532a.jpg,0.07244081925041987,0.10658510262542638,-1.0625,0.12636373966504372
https://www.bilibili.com/video/BV17u411X7Js/,美国神偷：混子想卖地皮，竟混成外国首相，美国如何偷走萨摩亚？,故事档案馆 地理 美国 历史 人物 美国内战 夏威夷 美属萨摩亚 萨摩亚 打卡挑战 ,美国，一个从英国出来的昂撒民族，从北美洲的几个殖民据点，一步步发展成领土面积世界第四，人口世界第三的超级大国，它的土地没有一寸是靠继承祖先。我想通过一个个节目，告诉大家，美国是怎么样变得这么大的。这个系列的名字，我们就叫《美国神偷》，欢迎来到新系列第一集，美属萨摩亚。,http://i2.hdslb.com/bfs/archive/01adcdb3969f79e69742a212fe2e413be9cb2baa.jpg,0.10657035539480768,0.10658510262542638,-0.5625,0.10671494089058624
https://www.bilibili.com/video/BV1XG4y1u7Df/,【读报告】美国实体清单一半在粤港澳，大湾区要如何迎击科技战场？,故事档案馆 美国 硅谷 湾区科创峰会 共享创新 深圳 产业链 贸易战 粤港澳大湾区 ,一键三连推荐给更多朋友！,http://i2.hdslb.com/bfs/archive/bd7548e63b4576783f5b5b1f4bcff5ed11ab51a0.jpg,0.054473055484747984,0.11304078416613478,-0.0625,
