urls,标题,标签,简介,封面图片,标题分数,标签分数,封面图片分数,简介分数
https://www.bilibili.com/video/BV1Be4y1a7pb/,欧洲深陷能源危机，中国绿色战略如何避坑？,欧洲 环保 能源危机 新能源 工业革命 绿电 碳中和 碳达峰 ,一键三连推荐给更多朋友！,http://i2.hdslb.com/bfs/archive/b4b97d7c0784573ff77f22f3f378cf2b06c6e6c8.jpg,0.12083223046959846,0.06744304769296748,-0.3125,
https://www.bilibili.com/video/BV1Yg411y7iq/,印度百年外交战略演化：如何以“中国”之名，扩大南亚霸权？,英国 印度 美国 莫迪 王骁 南亚 一带一路 印度洋 尼赫鲁 历史人文档案馆 历史人文档案馆2022第二季 ,一键三连推荐给更多朋友！,http://i0.hdslb.com/bfs/archive/b1c93a708646670200446ad50b6947336a74e056.jpg,0.10112251282501054,0.0,-0.8125,
https://www.bilibili.com/video/BV13R4y1E7kQ/,当效率从手段变成目的，人如何被异化成“工具人”？,知识分享官 文化 人物 读书 睡眠 国富论 柏拉图 效率 亚当·斯密 打卡挑战 ,谢谢大家的陪伴，我们一起变得更强！ 也谢谢品牌方SIMBA送我们的搬家礼物，专利号：ZL 201280008201.5。,http://i1.hdslb.com/bfs/archive/932c4b1607a91f8fa2bf1f9e918221e68c44e598.jpg,0.06123094334544521,0.0,-0.6875,
https://www.bilibili.com/video/BV1Be4y1a7pb/,欧洲深陷能源危机，中国绿色战略如何避坑？,欧洲 环保 能源危机 新能源 工业革命 绿电 碳中和 碳达峰 ,一键三连推荐给更多朋友！,http://i2.hdslb.com/bfs/archive/b4b97d7c0784573ff77f22f3f378cf2b06c6e6c8.jpg,0.12083223046959846,0.06744304769296748,-0.3125,
https://www.bilibili.com/video/BV1nU4y1d7Vb/,俄罗斯公布美国在乌克兰的生物实验资料，我们一起读一读,星海计划 俄罗斯 美国 历史 新冠 王骁 病毒 乌克兰 生物实验室 打卡挑战 ,当地时间3月10日，俄罗斯在互联网上公布了6个乌克兰实验室的相关文件夹，供全世界下载。6个文件夹涉及13份材料，包括但不限于项目申报书、学术汇报PPT、实验记录、发货单、工资表、销毁清单、信件。,http://i2.hdslb.com/bfs/archive/0b9bbf99e2ffb100be126f4c33294e133adcd3cf.jpg,0.0,0.0,-0.125,
https://www.bilibili.com/video/BV1XL411N7H8/,韩国总统大选，文在寅为何带不动自己人？,韩国 历史 韩国大选 尹锡悦 王骁 李在明 文在寅 打卡挑战 ,和室友一起通宵为大家献上大选视频，制作不易，欢迎三连。,http://i2.hdslb.com/bfs/archive/bde2ccf1004a8f01ee2d11fc4f7403fe4cb433a2.jpg,0.0,0.0,-0.75,
https://www.bilibili.com/video/BV1A64y1H7MV/,伊拉克战争20年，无意义的消耗与秩序的变革【中东14｜伊拉克】,故事档案馆 奥巴马 两伊战争 萨达姆 中东 伊拉克 海湾战争 布什 王骁 伊拉克战争 ,一键三连推荐给更多朋友！  中东系列回顾： 【中东 01】卡塔尔传送门：BV1eG411M78V 【中东 02】沙特传送门：BV1Po4y1N774 【中东 03】阿联酋传送门：BV1sg4y1w76G 【中东 04】科威特传送门：BV19P41167bm 【中东 05】阿曼传送门：BV1w44y1A7xC 【中东 06】巴林传送门：BV1hu4y1q7XU 【中东 07】也门传送门：BV1pk4y1F74a 【中东 08】约旦传送门：BV1PK4y1F7Rr 【中东 09】以色列传送门：BV1f94y1t7CA 【中东 10】巴勒斯坦传送门：BV1pg4y1X7UK 【中东 11】叙利亚传送门：BV19C4y1P7rq 【中东 12】黎巴嫩传送门：BV1fc411z7Wu 【中东 13】真主党传送门：BV1tp4y1f7aD 【中东 14】伊拉克传送门：BV1A64y1H7MV 【中东 15】埃及传送门：BV1c94y1T7d6 【中东 16】穆兄会传送门：BV13g4y1e7Cm,http://i2.hdslb.com/bfs/archive/d88739ca5f7164504ea55f576bb66c8e29695ee7.jpg,0.0,0.0,-0.0625,0.0
https://www.bilibili.com/video/BV1tp4y1f7aD/,有事他真上？中东最强激进武装真主党，为何敢硬刚以色列？【中东13丨真主党】,故事档案馆 王骁 以色列 叙利亚 黎巴嫩 伊朗 中东 真主党 什叶派 纳斯鲁拉 ,一键三连推荐给更多朋友！  中东系列回顾： 【中东 01】卡塔尔传送门：BV1eG411M78V 【中东 02】沙特传送门：BV1Po4y1N774 【中东 03】阿联酋传送门：BV1sg4y1w76G 【中东 04】科威特传送门：BV19P41167bm 【中东 05】阿曼传送门：BV1w44y1A7xC 【中东 06】巴林传送门：BV1hu4y1q7XU 【中东 07】也门传送门：BV1pk4y1F74a 【中东 08】约旦传送门：BV1PK4y1F7Rr 【中东 09】以色列传送门：BV1f94y1t7CA 【中东 10】巴勒斯坦传送门：BV1pg4y1X7UK 【中东 11】叙利亚传送门：BV19C4y1P7rq 【中东 12】黎巴嫩传送门：BV1fc411z7Wu 【中东 13】真主党传送门：BV1tp4y1f7aD 【中东 14】伊拉克传送门：BV1A64y1H7MV 【中东 15】埃及传送门：BV1c94y1T7d6 【中东 16】穆兄会传送门：BV13g4y1e7Cm,http://i0.hdslb.com/bfs/archive/08b1f828627cf5334d7b26fd9601a25adbbefa7c.jpg,0.0,0.0,0.25,0.0
https://www.bilibili.com/video/BV1XL411N7H8/,韩国总统大选，文在寅为何带不动自己人？,韩国 历史 韩国大选 尹锡悦 王骁 李在明 文在寅 打卡挑战 ,和室友一起通宵为大家献上大选视频，制作不易，欢迎三连。,http://i2.hdslb.com/bfs/archive/bde2ccf1004a8f01ee2d11fc4f7403fe4cb433a2.jpg,0.0,0.0,-0.75,0.0
https://www.bilibili.com/video/BV1Lh4y1d7ck/,欧美这么强，为什么我们还要造大飞机C919？,波音 上海 空客 航空 大飞机 C919 商飞 ,一键三连推荐给更多朋友！,http://i1.hdslb.com/bfs/archive/7cd1ace347f0c1d00195f3ab1a06358358cb010f.jpg,0.0,0.0,0.5625,
https://www.bilibili.com/video/BV1bP41127FG/,【东盟十国11丨新加坡】李家坡？东盟首都？中国时代依旧躺赢？,故事档案馆 新加坡 中国 李显龙 东南亚 王骁 东盟 李家坡 李光耀 ,一键三连推荐给更多朋友！  东盟十国系列回顾： 【东盟十国 01】菲律宾传送门：BV1og411d7rg 【东盟十国 02】印尼传送门：BV1QF411K7Lt 【东盟十国 03】泰国传送门：BV12g41167Gi 【东盟十国 04】马来西亚传送门：BV1xt4y1E7VC 【东盟十国 05】文莱传送门：BV1de4y1q799 【东盟十国 06】东帝汶传送门：BV1VG4y1Z7MW 【东盟十国 07】老挝传送门：BV1a3411o7vU 【东盟十国 08】柬埔寨传送门：BV1rs4y1Z7XH 【东盟十国 09】缅甸传送门：BV1Wb411f7fV 【东盟十国 10】越南传送门：BV12h411g7q9 【东盟十国 11】新加坡传送门：BV1bP41127FG 【东盟十国 12】东南亚华人传送门：BV1TM4y1q7M4 【东盟十国 13】老挝篮球队传送门：BV18W4y1X7fs,http://i2.hdslb.com/bfs/archive/53082219a53fb8c400fbec3f8992ccde28f77b24.jpg,0.0,0.0,0.375,
https://www.bilibili.com/video/BV19C4y1P7rq/,11年内战，阿拉伯之春为何停在这里？【中东11丨叙利亚】,故事档案馆 历史 内战 奥斯曼 王骁 中东 阿萨德 阿拉伯 叙利亚 ,一键三连推荐给更多朋友！  中东系列回顾： 【中东 01】卡塔尔传送门：BV1eG411M78V 【中东 02】沙特传送门：BV1Po4y1N774 【中东 03】阿联酋传送门：BV1sg4y1w76G 【中东 04】科威特传送门：BV19P41167bm 【中东 05】阿曼传送门：BV1w44y1A7xC 【中东 06】巴林传送门：BV1hu4y1q7XU 【中东 07】也门传送门：BV1pk4y1F74a 【中东 08】约旦传送门：BV1PK4y1F7Rr 【中东 09】以色列传送门：BV1f94y1t7CA 【中东 10】巴勒斯坦传送门：BV1pg4y1X7UK 【中东 11】叙利亚传送门：BV19C4y1P7rq 【中东 12】黎巴嫩传送门：BV1fc411z7Wu 【中东 13】真主党传送门：BV1tp4y1f7aD 【中东 14】伊拉克传送门：BV1A64y1H7MV 【中东 15】埃及传送门：BV1c94y1T7d6 【中东 16】穆兄会传送门：BV13g4y1e7Cm,http://i0.hdslb.com/bfs/archive/a26411a9b71b3bbb35d9d3ba1b71d2b9017bc4d5.jpg,0.0,0.0,0.375,
BV1UV4y1K7eU,第一台车，能买混动吗？,汽车 汽车知识 汽车文化 ,-,http://i2.hdslb.com/bfs/archive/892e91940dc663a4d53f2debbd933e6318ccdab5.jpg,0.1272589870097525,0.11671773546032797,-1.1875,
BV1Px4y1N7Jc,23款主流混动车型大乱斗！续航、油耗、性能、可靠性……谁会是最强黑马？| 混动时代,丰田 比亚迪 本田 传祺 汽车测评 性能 吉利 续航 可靠性 油耗 ,-,http://i1.hdslb.com/bfs/archive/48293eed79fec0816c29eec54b2ad44a6c63b28a.jpg,0.08655210892682114,0.0,-0.25,
BV1f94y1t7CA,以色列如何成为恶龙？【中东09丨以色列】,故事档案馆 哈马斯 犹太人 巴勒斯坦 巴以冲突 王骁 中东 以色列 巴以 内塔尼亚胡 ,一键三连推荐给更多朋友！  中东系列回顾： 【中东 01】卡塔尔传送门：BV1eG411M78V 【中东 02】沙特传送门：BV1Po4y1N774 【中东 03】阿联酋传送门：BV1sg4y1w76G 【中东 04】科威特传送门：BV19P41167bm 【中东 05】阿曼传送门：BV1w44y1A7xC 【中东 06】巴林传送门：BV1hu4y1q7XU 【中东 07】也门传送门：BV1pk4y1F74a 【中东 08】约旦传送门：BV1PK4y1F7Rr 【中东 09】以色列传送门：BV1f94y1t7CA 【中东 10】巴勒斯坦传送门：BV1pg4y1X7UK 【中东 11】叙利亚传送门：BV19C4y1P7rq 【中东 12】黎巴嫩传送门：BV1fc411z7Wu 【中东 13】真主党传送门：BV1tp4y1f7aD 【中东 14】伊拉克传送门：BV1A64y1H7MV 【中东 15】埃及传送门：BV1c94y1T7d6 【中东 16】穆兄会传送门：BV13g4y1e7Cm,http://i0.hdslb.com/bfs/archive/3aef63717930c4f0a4d7d2be8e32c4845cd1c1c7.jpg,0.05355095314996731,0.0,-0.625,
