urls,标题,标签,简介,封面图片,标题分数,标签分数,封面图片分数,简介分数
https://www.bilibili.com/video/BV1Be4y1a7pb/,欧洲深陷能源危机，中国绿色战略如何避坑？,欧洲 环保 能源危机 新能源 工业革命 绿电 碳中和 碳达峰 ,一键三连推荐给更多朋友！,http://i2.hdslb.com/bfs/archive/b4b97d7c0784573ff77f22f3f378cf2b06c6e6c8.jpg,0.12735952979479354,0.0,-1.25,
https://www.bilibili.com/video/BV1XB4y1S7Xg/,【美帝霸权三头犬 02】美帝如何踩着英帝控制欧洲,欧洲 苏联 伊丽莎白 历史 伦敦 美国 英国 王骁 马岛战争 历史人文档案馆 历史人文档案馆2022第二季 ,一键三连，推荐给更多的朋友！一起变得更强！ 【美帝三头犬 01】日本篇传送门：BV1EB4y1S7TT,http://i2.hdslb.com/bfs/archive/38cc48ac899f705e0abf7303a933f61ebfd97d96.jpg,0.10658510262542638,0.05355095314996731,-1.6875,
https://www.bilibili.com/video/BV1aq4y1d7Be/,为什么美国养的公知要忽悠美国？看“新铁三角”如何打造美式军国主义,知识分享官 历史 美国 地理 白宫 王骁 拜登 公知 智库 骁话一下 ,如果有收获，欢迎一键三连支持一下！ 计数太太：距离骁鸽回归倒计时84天。,http://i1.hdslb.com/bfs/archive/2e1188bb7f4ff65cde9df479af9090113b1712af.jpg,0.10163066979112657,0.1191471932867773,-0.5,
https://www.bilibili.com/video/BV15L411s7vm/,孔子诞辰2572周年，大陆台湾都祭孔，有什么不同？,知识分享官 历史 中华文化 文化 人物 孔子 儒家 衢州 孔府 ,9月28日，孔子诞辰2572年，两岸三地举行了纪念的祭祀典礼，当晚孔子南宗嫡孙孔祥楷先生去世。他是孔子第75代嫡孙，放在旧社会定是大富大贵之人，但是他却走出了一条截然不同的路。,http://i1.hdslb.com/bfs/archive/af7a513ebb9c040f7b50d0b8a1b80e7621cfb9b2.jpg,0.0,0.20199309249791833,-0.8125,
https://www.bilibili.com/video/BV1uv411A7cP/,“九一八”：懦弱的军阀，失心的军国，英雄的人民,知识分享官 日本 历史 人物 张学良 关东军 张作霖 九一八 马占山 ,-,http://i2.hdslb.com/bfs/archive/be6010b73801462a0f250d096d6e813e87ac8412.jpg,0.0,0.20199309249791833,-1.25,
https://www.bilibili.com/video/BV1Wh411q7YK/,追星究极形态，政界顶流，阿拉伯与非洲的嘴强王者【利比亚·卡扎菲时代】,知识分享官 历史 人物 地理 人文历史 卡扎菲 利比亚 北非 纳赛尔 ,点赞破4万，咱们周六出续集，聊聊近10年的利比亚。,http://i2.hdslb.com/bfs/archive/6375136e0ce2f0b90d0fc573289e6862c7689e15.jpg,0.0,0.20199309249791833,-1.5625,
https://www.bilibili.com/video/BV1h54y157FM/,抗战为什么8年改14年？无名英雄在怎样的绝望中，死命攒出新中国的星星之火？,五月哔刷片·五月新片 电影 历史 东北 中国 抗日 王骁 抗日战争 悬崖之上 影娱哔哔官 ,希望大家可以帮我点亮大拇指小金币小星星，让更多的人看到这段历史。,http://i1.hdslb.com/bfs/archive/f3bddeaad3caee8149d64e1bb5428c26934ce94e.jpg,0.0,0.05355095314996731,-0.6875,0.04723062045463176
https://www.bilibili.com/video/BV12k4y1u7sh/,美国军队最集权，所以效率最高丨Overlap,故事档案馆 中国 高铁 美国 拜登 基建狂魔 基建 Overlap 美国基建 基建计划 ,美国政府反复强调要推动基础设施建设，看起来这应该是一个可以取得跨党派支持，非常政治正确的事情，但是却一直难以推动，由于美国是世界霸主，谁都会关注，导致美国的基建危机甚至成了国际话题。这次，美国媒体人又想来和我聊聊，中国人如何看待自己的基建设施，如何看待美国的基建问题。,http://i2.hdslb.com/bfs/archive/2996a91f6c3ced9539c5feec2d9e8714d0cf532a.jpg,0.0,0.0,-1.9375,0.034528345512804336
https://www.bilibili.com/video/BV1QV411j7EK/,80年未被超越，敢都不敢想的师资团队，中国最强大学有多牛？,人文 毕业季·再见少年 历史 高考 教育 社会 大学 邓稼先 九零后 西南联大 ,在任何时候，都要记得仰望星空，看向远方。 欢迎大家一键三连，把《九零后》的故事分享给更多的朋友，让我们一起变得更强！,http://i0.hdslb.com/bfs/archive/2fa8116bd20dc103ee7686ca865eb783f7e2a84a.jpg,0.0,0.05355095314996731,-1.1875,0.03292274815663736
https://www.bilibili.com/video/BV1NA411V7me/,东南亚衰落怪文科生？大胆一点！怪大学生！,知识分享官 财经 历史 教育 大学 王骁 经济 东南亚 商业 ,新号看到的人比较少，欢迎关注+一键三连！ 每周六，小王陪你看世界~,http://i0.hdslb.com/bfs/archive/ff3dde31136b41032dbd19fd9dec49550bdfe42b.jpg,0.0,0.12636373966504363,-0.1875,
