urls,标题,标签,简介,封面图片,标题分数,标签分数,封面图片分数,简介分数
https://www.bilibili.com/video/BV1uv411A7cP/,“九一八”：懦弱的军阀，失心的军国，英雄的人民,知识分享官 日本 历史 人物 张学良 关东军 张作霖 九一八 马占山 ,-,http://i2.hdslb.com/bfs/archive/be6010b73801462a0f250d096d6e813e87ac8412.jpg,0.06437099366532754,0.05629715757507138,-0.75,
https://www.bilibili.com/video/BV1fV4y1S78C/,制裁第四年，研发经费却又破新高，华为到底在做什么？,东莞 华为 深圳 商业 制裁 基础科学 研发 年报 ,3月31日，华为发布年报，科研经费再创新高。从2019年开始被制裁至今，已经过了四年，华为表示已经适应了。如何适应？这个适应除了应对制裁，还带来了什么？这次我们直接去了现场，看看华为如何适应制裁？,http://i0.hdslb.com/bfs/archive/feadfb6ec67b48ea653befef9dc8fb9ad48b9c80.jpg,0.05992996822422367,0.0,-0.4375,
https://www.bilibili.com/video/BV1pz4y1v7qY/,水源危机、毒品走廊、恐怖主义，中亚中心的挑战【中亚五国02丨乌兹别克斯坦】,故事档案馆 历史 卡里莫夫 中吉乌铁路 吉尔吉斯斯坦 乌兹别克斯坦 铁路 王骁 中亚 咸海 ,一键三连推荐给更多朋友！  中亚系列回顾： 【中亚五国 01】吉尔吉斯斯坦传送门: BV1Ro4y1A7DJ 【中亚五国 02】乌兹别克斯坦传送门: BV1pz4y1v7qY 【中亚五国 03】塔吉克斯坦传送门: BV1fu4y1U7oG 【中亚五国 04】土库曼斯坦传送门: BV1hj41197wT 【中亚五国 05】哈萨克斯坦传送门: BV1Vh4y1U78f,http://i0.hdslb.com/bfs/archive/175cd0981672853598d35a0ee0959613b329d755.jpg,0.04467742044818329,0.1123427789154278,-0.375,
https://www.bilibili.com/video/BV1nU4y1d7Vb/,俄罗斯公布美国在乌克兰的生物实验资料，我们一起读一读,星海计划 俄罗斯 美国 历史 新冠 王骁 病毒 乌克兰 生物实验室 打卡挑战 ,当地时间3月10日，俄罗斯在互联网上公布了6个乌克兰实验室的相关文件夹，供全世界下载。6个文件夹涉及13份材料，包括但不限于项目申报书、学术汇报PPT、实验记录、发货单、工资表、销毁清单、信件。,http://i2.hdslb.com/bfs/archive/0b9bbf99e2ffb100be126f4c33294e133adcd3cf.jpg,0.0,0.43161341897075156,0.1875,
https://www.bilibili.com/video/BV1x44y1M7QS/,开门送援助！被美国硬塞MCC，尼泊尔为什么不甩脸拒绝？,美国 历史 尼泊尔 印太战略 普拉昌达 王骁 mcc 打卡挑战 历史人文档案馆 ,尼泊尔签了个MCC协议，一时间互联网舆论哗然，说怎么还在吃斯拉夫兄弟阋墙的瓜，想不到自己被偷家。最严重的评论说一旦签了这个MCC，美国甚至可以在尼泊尔驻军，这还得了。这周咱们就聊聊这个事儿。,http://i0.hdslb.com/bfs/archive/0b03bb7e568f015b8968ddc8cfffaaaa03874c84.jpg,0.0,0.36091094553587044,-1.125,
https://www.bilibili.com/video/BV16G411x7Kq/,【美帝霸权三头犬 03 澳大利亚】什么契机，白捡一个好大儿？,日本 美国 澳大利亚 历史 二战 地理 王骁 印尼 马六甲 历史人文档案馆 历史人文档案馆2022第二季 ,一键三连，让更多的朋友看到，祝我们一起变得更强！,http://i1.hdslb.com/bfs/archive/9302e6a91ffb9c5a85503a56b60fe61e909d5cda.jpg,0.0,0.3157851025196653,-0.875,
https://www.bilibili.com/video/BV1h54y157FM/,抗战为什么8年改14年？无名英雄在怎样的绝望中，死命攒出新中国的星星之火？,五月哔刷片·五月新片 电影 历史 东北 中国 抗日 王骁 抗日战争 悬崖之上 影娱哔哔官 ,希望大家可以帮我点亮大拇指小金币小星星，让更多的人看到这段历史。,http://i1.hdslb.com/bfs/archive/f3bddeaad3caee8149d64e1bb5428c26934ce94e.jpg,0.0,0.10658510262542638,-0.4375,0.09619056546266426
https://www.bilibili.com/video/BV1J84y1w7RA/,美国火车侧翻，世界帝国的基建怎么这么差？| Overlap,故事档案馆 火车 美国 底浪 翻车 BT 王骁 小王 overlap ,美国俄亥俄州火车翻车，导致化学物品污染当地环境，严重损害老百姓的生活。美国交通曾经是美国的名片，但是今天中国铁路发展日新月异，美国基础设施却成了一个反面案例。为什么会这样，美国人如何看待国营铁路？这一集底浪Wave的Overlap，我和美国独立媒体BreakThrough News一起聊聊，铁路的私营和国营。,http://i2.hdslb.com/bfs/archive/921d5415db99c164411fda44e4e095a4e044be19.jpg,0.0,0.11914719328677732,-1.125,0.09384054091298216
https://www.bilibili.com/video/BV1HM4y157cS/,“人类高质量国家”印度，啥都要和中国争高低，怎么一到奥运就这么拉了？,体育 人文 知识分享官 文化 运动 印度 历史 奥运会 国际 ,一键三连，打卡变强！,http://i2.hdslb.com/bfs/archive/246459c842857d1cb92489066df26674417e638c.jpg,0.0,0.05629715757507138,-0.875,0.07098413734701413
https://www.bilibili.com/video/BV1Be4y1a7pb/,欧洲深陷能源危机，中国绿色战略如何避坑？,欧洲 环保 能源危机 新能源 工业革命 绿电 碳中和 碳达峰 ,一键三连推荐给更多朋友！,http://i2.hdslb.com/bfs/archive/b4b97d7c0784573ff77f22f3f378cf2b06c6e6c8.jpg,0.0,0.0,0.375,
