urls,标题,标签,简介,封面图片,标题分数,标签分数,封面图片分数,简介分数
https://www.bilibili.com/video/BV1aP4y177qM/,拿一手烂牌打成非洲经济第一，天降非酋如何带飞博茨瓦纳,人文 故事档案馆 历史 酋长 非洲 塞雷茨 博茨瓦纳 王骁 南非 打卡挑战 ,20220121，回来看的第二个国家，博茨瓦纳。 今天要让你开一局游戏，你成为了一个非洲南部国家的领导人，国家不临海，全国地形都是干燥的台地，70%的国土是沙漠，社会基层是部落，被英国殖民过，连个首都城市都没有。这个开局还有人愿意玩儿吗？但是真就有个猛男，把这个开局玩成了非洲经济最好。,http://i1.hdslb.com/bfs/archive/37910df94bf23692feadf7565633f7daff8d11e2.jpg,0.11304078416613478,0.1123427789154278,-0.875,
https://www.bilibili.com/video/BV13R4y1E7kQ/,当效率从手段变成目的，人如何被异化成“工具人”？,知识分享官 文化 人物 读书 睡眠 国富论 柏拉图 效率 亚当·斯密 打卡挑战 ,谢谢大家的陪伴，我们一起变得更强！ 也谢谢品牌方SIMBA送我们的搬家礼物，专利号：ZL 201280008201.5。,http://i1.hdslb.com/bfs/archive/932c4b1607a91f8fa2bf1f9e918221e68c44e598.jpg,0.06804963087832473,0.10658510262542638,-1.25,
https://www.bilibili.com/video/BV1734y1C7Vr/,韩越联手，如何在英文世界消灭“中国”新年,故事档案馆 美国 历史 越南 韩国 新年 冬奥会 春节 lunar new year 打卡挑战 ,用英文拜年，以前有很多种表达方式，但现在逐渐固定成了Happy Lunar New Year。语言的多样性在政治正确面前不堪一击。你有没有想过，这可能是一场文化战争？,http://i0.hdslb.com/bfs/archive/6b6204def38db3ab9758ff67142d0aad2e343b3a.jpg,0.06335481222196541,0.04840481852390735,-0.4375,
https://www.bilibili.com/video/BV1Vb4y1Z76h/,以色列莫迪，内塔尼亚胡，学起了老仙的把戏【看世界·西亚1】,人文 知识分享官 印度 人物 历史 王骁 以色列 巴以冲突 中东 犹太 ,6月开启中东系列，欢迎新朋友关注，老朋友三连~冲鸭~,http://i2.hdslb.com/bfs/archive/c1961f83a91ac9700c290d223918cc5b91217591.jpg,0.0,0.25233420143369617,-0.5625,
https://www.bilibili.com/video/BV1X64y1Q7sW/,1/4人艾滋，裸选后宫，百姓为奴，活化石国家终于乱了！【斯威士兰】,知识分享官 人物 非洲 英国 历史 奇闻 文化 王骁 南非 斯威士兰 ,点赞投币转发给志同道合的朋友，我们一起变得更强！,http://i2.hdslb.com/bfs/archive/69d38befda05819e249c6df58a37c46712d4eda5.jpg,0.0,0.25233420143369617,-0.6875,
https://www.bilibili.com/video/BV1MB4y1K7kf/,古巴想要的只是独立，却被美国逼成了共产主义,人文 美国 历史 知识分享官 人物 王骁 古巴 卡斯特罗 切·格瓦拉 南美 ,欢迎有收获的朋友们，有币的捧个币场，没币的点点赞，帮我也变得更强！,http://i1.hdslb.com/bfs/archive/6a9f567b601704366a8b974f57eda0c4d0416745.jpg,0.0,0.25233420143369617,-0.9375,
https://www.bilibili.com/video/BV15b4y1Z7r6/,【人文社科①】b站最全志愿填报专业选择指南！61专业100嘉宾！第1期：历史国际关系政治社会心理英文小语种中文 文科专业高考志愿填报,科普 人文 2021高考季 英语 伢伢 历史 大学 毕业季 王骁 lks ,本期专业：历史、政治（含国际关系）、社会、心理、英文、小语种、中文 感谢各位嘉宾：小王Albert（王骁待产中）、小徐、多罗西123、-LKs-、伢伢gagako、溪子心理、是毛布斯呀、James、二锐、小蝶今天吃饱了、魏春露 下期预告：新闻传播、广告、法律、侦查、哲学、马克思主义、教育,http://i2.hdslb.com/bfs/archive/ecfd5bcf5eaaa57e8ea97f7be92b15b5f5cf96eb.jpg,0.0,0.11234277891542778,-0.5,0.059123869665047624
https://www.bilibili.com/video/BV1h54y157FM/,抗战为什么8年改14年？无名英雄在怎样的绝望中，死命攒出新中国的星星之火？,五月哔刷片·五月新片 电影 历史 东北 中国 抗日 王骁 抗日战争 悬崖之上 影娱哔哔官 ,希望大家可以帮我点亮大拇指小金币小星星，让更多的人看到这段历史。,http://i1.hdslb.com/bfs/archive/f3bddeaad3caee8149d64e1bb5428c26934ce94e.jpg,0.0,0.10658510262542638,-0.6875,0.042723499235069476
https://www.bilibili.com/video/BV1VN4y1c7Fq/,和美国媒体人唠嗑：大学实在是上不起了【王骁 x Rachel】,故事档案馆 夏夜故事会 大学 留学 学习 美国 教育 堕胎 美国留学 王骁 学费 ,前段时间认识了一个美国左翼媒体人，她非常希望了解中国，我们就唠唠嗑。那天主要聊了关于美国当时比较热门的新闻，比如堕胎，持枪和教育，其中教育聊的比较多，主要是集中在价格问题上。现在刚刚尝试，未来还会尝试更多和国际媒体人的交流，欢迎大家的关注~,http://i0.hdslb.com/bfs/archive/acef0c7c525cbbc5997a7fba48256d2d27996912.jpg,0.0,0.050656087645095244,-1.125,0.03422358407586074
https://www.bilibili.com/video/BV1ks4y1M7gu/,都说中国发展的秘密藏在招商，南京是怎么做的？,中国 南京 秦淮河 夫子庙 钟山 投资 ,一键三连推荐给更多朋友！,http://i0.hdslb.com/bfs/archive/753eaf7fa037668f0c7ca79d5983c187c002b710.jpg,0.0,0.0,0.0,
